######################################## User Management System log All Trace #########################################
2020/10/13 00:15:53.661 [TRACE] [UMS.Program]  Program.cs:27 | Starting Program.
2020/10/13 00:19:08.746 [INFO] [Microsoft.Hosting.Lifetime]   | Application is shutting down...
2020/10/13 00:19:09.088 [INFO] [Microsoft.Hosting.Lifetime]   | Now listening on: https://localhost:44346
2020/10/13 00:19:09.107 [INFO] [Microsoft.Hosting.Lifetime]   | Application started. Press Ctrl+C to shut down.
2020/10/13 00:19:09.107 [INFO] [Microsoft.Hosting.Lifetime]   | Hosting environment: Development
2020/10/13 00:19:09.107 [INFO] [Microsoft.Hosting.Lifetime]   | Content root path: C:\Users\Namchok\Desktop\สหกิจ\ums\UMS
2020/10/13 00:19:13.700 [TRACE] [UMS.Program]  Program.cs:27 | Starting Program.
2020/10/13 00:19:14.763 [INFO] [Microsoft.Hosting.Lifetime]   | Now listening on: https://localhost:44346
2020/10/13 00:19:14.925 [INFO] [Microsoft.Hosting.Lifetime]   | Application started. Press Ctrl+C to shut down.
2020/10/13 00:19:14.925 [INFO] [Microsoft.Hosting.Lifetime]   | Hosting environment: Development
2020/10/13 00:19:14.925 [INFO] [Microsoft.Hosting.Lifetime]   | Content root path: C:\Users\Namchok\Desktop\สหกิจ\ums\UMS
2020/10/13 00:19:15.626 [TRACE] [UMS.Data.AuthDbContext]  AuthDbContext.cs:28 | Start application context.
2020/10/13 00:19:15.642 [TRACE] [UMS.Controllers.ManageUserController]  ManageUserController.cs:34 | Start manage user controller.
2020/10/13 00:19:15.642 [DEBUG] [UMS.Areas.Identity.Pages.Account.LoginModel]  Login.cshtml.cs:51 | Start login model.
2020/10/13 00:19:15.663 [TRACE] [UMS.Areas.Identity.Pages.Account.LoginModel]  Login.cshtml.cs:102 | Start login on get.
2020/10/13 00:19:15.663 [TRACE] [UMS.Areas.Identity.Pages.Account.LoginModel]  Login.cshtml.cs:115 | Signing out.
2020/10/13 00:19:15.671 [DEBUG] [UMS.Areas.Identity.Pages.Account.LoginModel]  Login.cshtml.cs:117 | Getting external authentication scheme.
2020/10/13 00:19:15.671 [TRACE] [UMS.Areas.Identity.Pages.Account.LoginModel]  Login.cshtml.cs:120 | End login on get.
2020/10/13 00:19:51.165 [TRACE] [UMS.Data.AuthDbContext]  AuthDbContext.cs:28 | Start application context.
2020/10/13 00:19:51.170 [DEBUG] [UMS.Areas.Identity.Pages.Account.RegisterModel]  Register.cshtml.cs:50 | Start Register model.
2020/10/13 00:19:51.170 [TRACE] [UMS.Areas.Identity.Pages.Account.RegisterModel]  Register.cshtml.cs:112 | Getting external login.
2020/10/13 00:19:51.170 [TRACE] [UMS.Areas.Identity.Pages.Account.RegisterModel]  Register.cshtml.cs:114 | Register on get.
2020/10/13 00:19:52.565 [TRACE] [UMS.Data.AuthDbContext]  CheckUserExist:AuthDbContext.cs:28 | Start application context.
